# Title: Online Malicious URL Splunk Lookup
# Updated: 2024-09-10T00:48:44Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"1.117.232.76","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.117.60.10","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.12.242.190","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.14.206.72","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.15.248.225","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.179.62.255","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.214.192.147","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.48.232.185","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.55.243.196","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.64.200.102","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.92.127.210","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.92.96.35","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.94.67.222","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"1.bdl99down.kukulaa.cn","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"100.16.168.239","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.101.160.56","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.108.5.54","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.132.182.180","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.201.54.74","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.34.163.3","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.34.209.73","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.35.228.105","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.35.252.249","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.36.117.53","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.42.158.190","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.42.247.112","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.42.4.160","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.43.124.251","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.43.16.149","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.43.198.94","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.43.2.116","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.43.201.136","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"101.43.211.59","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.0.4.86","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.133.144.251","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.165.122.114","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.216.105.81","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.216.69.112","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.223.106.188","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.53.15.17","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.53.15.18","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"102.53.15.54","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.1.157.126","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.101.81.142","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.106.0.20","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.118.45.13","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.125.163.10","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.134.214.139","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.14.48.254","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.142.146.11","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.142.146.12","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.142.146.13","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.143.195.161","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.143.248.179","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.144.240.13","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.146.202.41","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.149.87.69","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.150.124.120","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.162.59.218","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.164.200.170","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.173.137.213","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
"103.173.173.98","","urlhaus-filter malicious website detected","2024-09-10T00:48:44Z"
